# DL iota
2.191315464797262393e+02 4.875033744246202727e-01
1.889892682257855654e+02 5.412471698945674481e-01
1.266098100747549324e+02 5.999359229613219213e-01
1.889157350061427678e+02 3.780543351953717379e-01
1.317475599635558012e+02 7.320905091743078463e-01
9.455386307824211656e+01 4.234560816683770601e-01
1.160490355313558979e+02 6.314772360254274908e-01
1.615850478260756518e+02 8.543275660726550313e-01
2.025058663103516778e+02 3.606361198347789454e-01
1.355177413003984839e+02 1.008327079480504151e+00
1.987270485523067975e+02 4.582198121149048120e-01
1.518361401411858935e+02 2.559858648757614707e-01
1.360822688801222284e+02 7.226956654362630683e-01
1.835851304597536853e+02 4.589222030181581147e-01
1.670438440283174373e+02 6.589511989548454407e-01
1.708556058791346004e+02 1.679234022115885239e-01
1.653013476703102924e+02 6.877002261417666240e-01
1.176421515855407733e+02 1.280952264117928507e+00
1.420641493246008622e+02 2.195893406515336821e-01
1.734405050877876988e+02 4.453460844143748432e-01
1.759680641558734351e+02 3.822005708972953109e-01
1.050450799989659174e+02 9.050097546409304750e-01
1.617458544299397545e+02 5.882309807423613535e-01
1.748717872192864604e+02 7.313040664671346391e-01
1.084965354175846954e+02 9.092320930337477458e-02
1.501413446780985907e+02 2.583910791509760330e-01
1.210317695683275332e+02 7.977890849954789587e-01
1.518876290069441666e+02 8.165948317087627917e-01
1.757925133395743273e+02 3.503411095149419063e-01
1.749994155270756835e+02 6.876032389567696690e-01
1.803687256126409579e+02 3.517229344248931078e-01
1.650425258458053008e+02 5.170392130194834124e-01
1.559200621248002108e+02 7.624297806327406946e-02
1.720482266048063309e+02 5.817889992741427374e-01
9.842760492813752649e+01 6.748858112128642839e-01
1.811921932570752176e+02 4.966987273773122435e-01
1.341629439617891819e+02 9.701042804296067246e-01
1.712905345823819800e+02 4.997958281846461848e-01
1.582163381222967757e+02 1.841679549538572935e-01
1.983526872026084504e+02 4.792248386353811784e-01
1.701773415231538991e+02 1.402592478870906822e-01
1.311544278011406846e+02 5.799634756430042115e-01
1.524639711540029623e+02 6.185276855392176643e-01
8.989819042865356380e+01 5.742381676033176952e-01
1.741628848914360503e+02 7.269896314186210518e-01
8.677833050500839818e+01 1.160630263630884951e+00
1.256481968077597884e+02 2.350821623488764944e-01
1.593938420746463862e+02 7.263719178950699407e-01
1.248492193633130540e+02 8.484116901093905483e-01
1.159168989325259673e+02 9.213348651646642296e-01
1.225647708649963050e+02 6.683710219942270436e-01
1.513374006647627255e+02 5.613923666213315178e-01
1.672137171718879927e+02 2.214264054358051070e-01
9.820099131078326593e+01 9.005698601390053071e-01
2.002931107366394770e+02 3.738893634777807340e-01
1.452930643377497404e+02 6.769686424616470077e-01
1.141915230176245331e+02 4.241538856023305826e-01
1.830472615446354894e+02 5.418096886015706382e-01
2.015782201462509136e+02 5.627296505001249116e-01
1.847172957282132018e+02 4.562131084089906530e-01
1.827334468887259504e+02 5.846694473391239599e-02
1.215032973225654018e+02 5.492327551031882527e-01
1.337228260282345786e+02 6.556522380562648245e-01
1.358654353764405869e+02 2.157504674962763824e-01
1.677206376849182732e+02 5.366411737255347703e-01
1.429743480249034064e+02 9.862188572940933096e-01
2.378233813413466180e+02 1.063953331667661928e-01
2.091962760635690586e+02 6.134471994740300360e-01
1.516964138882400448e+02 7.150245608125731511e-01
1.466002095998751997e+02 5.339324195733379241e-01
1.776272382745381151e+02 2.153816986642608511e-01
1.657630254298161958e+02 8.614561729422045566e-01
1.501097694746457876e+02 3.019712881050581887e-01
1.246424179538443866e+02 8.714273417512146125e-01
1.661241970534811685e+02 2.261581170355220216e-01
1.865179096320794940e+02 2.890473539666505998e-01
1.458047982065789370e+02 4.469567829971712314e-01
1.424839885893126450e+02 6.146543454145777519e-01
1.977287925069336438e+02 2.504978422580020903e-01
2.020239389584396008e+02 1.958413330075639003e-01
1.247921132706770635e+02 4.038314189539131682e-01
1.480511577093253663e+02 8.472318988937795892e-01
1.605294858121748973e+02 1.100732582635863821e-01
1.261219707817089528e+02 1.026270387401518658e+00
1.436837391269926059e+02 7.768901045638840763e-01
1.215179988309391064e+02 7.094971573651704944e-01
1.537870413810934451e+02 5.148685424068868421e-01
1.253539995069771464e+02 6.396737925555907589e-01
1.778872039440056483e+02 7.683812113441808034e-01
